#{"t_start": 1607576171.9976041, "env_id": "Block-v1"}
r,l,t
-1200.513553,21,0.069457
-525.977752,979,3.26706
-690.440604,1001,6.504386
-1356.651924,362,7.65277
-446.186278,639,9.698581
-864.177016,1001,12.910993
-82.369829,8,12.938578
-1214.548468,167,13.422175
-1443.68688,473,14.793803
-330.104612,353,15.840554
-862.05538,1001,18.757882
-678.091821,1001,21.672152
-494.164984,1001,24.609439
-480.480774,1001,27.562535
-316.932765,1001,30.479846
-1371.692316,455,31.795501
-213.725261,546,33.408851
-1569.459328,836,35.859592
-82.040175,165,36.352153
-1209.859445,32,36.441814
-642.342856,969,39.249282
-1418.849164,559,40.894427
-312.800236,442,42.206385
-346.38665,1001,45.122719
1841.044262,959,47.911028
-46.16412,42,48.052193
-1616.513706,909,50.709361
-114.807015,92,50.987747
-1389.270799,552,52.55512
-244.730389,449,53.859742
-1343.252183,445,55.15871
-104.176426,556,56.80441
-1381.384893,365,57.873738
